0,	1,	19,	1
1,	1,	18.3207,	1
2,	1,	16.3694,	1
3,	1,	13.3934,	1
4,	1,	9.76299,	1
5,	1,	5.91654,	1
6,	1,	2.29598,	1
7,	1,	-0.716011,	1
8,	1,	-2.84776,	1
9,	1,	-3.97116,	1
10,	0,	-4.1106,	4.52128e-16
11,	0,	-3.42769,	2.49641e-16
12,	0,	-2.18542,	1.6927e-16
13,	0,	-0.698483,	5.45006e-16
14,	0,	0.721245,	2.84027e-16
15,	0,	1.8149,	1.93995e-16
16,	0,	2.41421,	3.35039e-17
17,	0,	2.46098,	4.33473e-16
18,	0,	2.00612,	3.50488e-16
19,	0,	1.18991,	-4.47589e-19
20,	0,	0.207929,	1.56373e-16
21,	0,	-0.730161,	2.79031e-16
22,	0,	-1.44125,	3.29431e-17
23,	0,	-1.80146,	1.71614e-16
24,	0,	-1.76537,	1.79239e-16
25,	0,	-1.36911,	3.06846e-16
26,	0,	-0.717736,	2.16956e-16
27,	0,	0.0398894,	6.73357e-17
28,	0,	0.743067,	1.20252e-16
29,	0,	1.25171,	3.56609e-16
30,	0,	1.47296,	1.39366e-16
31,	0,	1.37704,	1.42009e-16
32,	0,	1,	5.55112e-17
33,	0,	0.433114,	1.24783e-16
34,	0,	-0.19803,	1.93487e-16
35,	0,	-0.760435,	7.14291e-17
36,	0,	-1.14089,	2.97197e-16
37,	0,	-1.2681,	2.84389e-16
38,	0,	-1.12547,	1.22356e-16
39,	0,	-0.752499,	1.41079e-16
40,	0,	-0.234633,	1.38836e-16
41,	0,	0.315691,	2.2446e-16
42,	0,	0.78295,	4.71834e-17
43,	0,	1.0723,	-8.19767e-17
44,	0,	1.12843,	1.01844e-16
45,	0,	0.945847,	4.21034e-17
46,	0,	0.568704,	-3.19154e-18
47,	0,	0.0804679,	-5.65393e-17
48,	0,	-0.414214,	-5.74837e-18
49,	0,	-0.811591,	6.50804e-17
50,	0,	-1.03026,	1.75758e-17
51,	0,	-1.02757,	-1.40358e-16
52,	0,	-0.807794,	-7.8502e-18
53,	0,	-0.420472,	-7.99935e-17
54,	0,	0.0505836,	-7.75261e-17
55,	0,	0.505173,	-5.55112e-17
56,	0,	0.847759,	-2.22045e-16
57,	0,	1.00731,	-1.11022e-16
58,	0,	0.951846,	0
59,	0,	0.694766,	0
60,	0,	0.291689,	-1.11022e-16
61,	0,	-0.171426,	-5.55112e-17
62,	0,	-0.596418,	0
63,	0,	-0.893493,	-1.11022e-16
64,	0,	-1,	-5.55112e-17
65,	0,	-0.893493,	-1.11022e-16
66,	0,	-0.596418,	0
67,	0,	-0.171426,	0
68,	0,	0.291689,	-1.11022e-16
69,	0,	0.694766,	-2.22045e-16
70,	0,	0.951846,	-1.11022e-16
71,	0,	1.00731,	0
72,	0,	0.847759,	-1.11022e-16
73,	0,	0.505173,	-1.11022e-16
74,	0,	0.0505836,	6.96993e-18
75,	0,	-0.420472,	-4.01391e-18
76,	0,	-0.807794,	-6.24732e-17
77,	0,	-1.02757,	-3.79671e-17
78,	0,	-1.03026,	-2.57395e-17
79,	0,	-0.811591,	4.49173e-17
80,	0,	-0.414214,	-5.74837e-18
81,	0,	0.0804679,	-3.6151e-17
82,	0,	0.568704,	-1.38484e-17
83,	0,	0.945847,	4.04246e-17
84,	0,	1.12843,	3.9883e-17
85,	0,	1.0723,	1.16086e-17
86,	0,	0.78295,	4.24602e-17
87,	0,	0.315691,	-2.27125e-16
88,	0,	-0.234633,	-1.27051e-17
89,	0,	-0.752499,	-2.92899e-17
90,	0,	-1.12547,	-2.72467e-16
91,	0,	-1.2681,	-6.73357e-17
92,	0,	-1.14089,	-6.47409e-17
93,	0,	-0.760435,	-1.34564e-16
94,	0,	-0.19803,	-1.39366e-16
95,	0,	0.433114,	-2.53031e-16
96,	0,	1,	5.55112e-17
97,	0,	1.37704,	-6.92719e-17
98,	0,	1.47296,	-1.37976e-16
99,	0,	1.25171,	-7.14291e-17
100,	0,	0.743067,	-2.41686e-16
101,	0,	0.0398894,	-1.73367e-16
102,	0,	-0.717736,	-1.22356e-16
103,	0,	-1.36911,	-3.63124e-16
104,	0,	-1.76537,	-1.38836e-16
105,	0,	-1.80146,	-2.2446e-16
106,	0,	-1.44125,	-1.73214e-16
107,	0,	-0.730161,	-1.6365e-16
108,	0,	0.207929,	-9.76185e-17
109,	0,	1.18991,	-3.27098e-16
110,	0,	2.00612,	-1.44074e-16
111,	0,	2.46098,	-2.93395e-16
112,	0,	2.41421,	3.35039e-17
113,	0,	1.8149,	-5.73424e-16
114,	0,	0.721245,	-2.98704e-16
115,	0,	-0.698483,	-1.77174e-16
116,	0,	-2.18542,	-1.32895e-16
117,	0,	-3.42769,	-5.99224e-16
118,	0,	-4.1106,	-1.089e-16
119,	1,	-3.97116,	1
120,	1,	-2.84776,	1
121,	1,	-0.716011,	1
122,	1,	2.29598,	1
123,	1,	5.91654,	1
124,	1,	9.76299,	1
125,	1,	13.3934,	1
126,	1,	16.3694,	1
127,	1,	18.3207,	1
